review,rating,day,month,year
"excellent ,site sérieux,professionnel et a l’écoute de ses clients,je recommande.mr pousset",5,21,mars,2021
"expédition rapide, proposition de prix attractive, parfait.",5,20,mars,2021
livrer très rapidement après commande emballage en parfait étatproduit de très bonne qualité merci pour les conseils d experts du site,5,19,mars,2021
"equipe efficace pour le service après vente répondent toujours à vos questions malgré votre persistance , je suis vraiment ravi de leur professionnalisme .je ferai d'autre commandes sans hésitation .attention tout de même au matériel ""en réapprovisionnement "" , il ne faut pas être pressé .",5,19,mars,2021
vite correct ras,5,19,mars,2021
allez y en toute confiance .magasin très serieux . après avoir passé plusieurs commandes je peut dire qu’il n’y eu aucun soucis et si il y a erreur se qui peut arriver cela est régler dans la journée.,5,19,mars,2021
rien à dire. beaucoup de choix des produits parfois rares expédition rapide,5,17,mars,2021
"meilleur prix qu'ailleurs, livraison ultra rapide, je recommande.",5,19,mars,2021
"j'ai passé ma première commande le 24 janvier 2021 chez homecinésolutions pour un support tv vogel. au départ je cherchais une barre de son et j'ai trouvé chez homecinésolutions une offre large de matériel haut de gamme à des prix très compétitifs. prise de commande et livraison parfaites - je n'ai pas eu affaire au service client mais je n'ai aucune inquiétude.il me reste à commander la barre de son (sonos arc) avec subwoofer et enceintes arrières... c'est un beau budget, et je compte le dépenser chez homecinésolutions !",5,24,janvier,2021
"je regrette que le règlement se fasse à la commande et non à la livraison.si un article est indisponible lors d'une commande globale, il faut attendre la livraison de ce dernier pour obtenir la livraison. pas de livraison partielle.difficulté à contacter un interlocuteur au téléphone pour le conseil. temps d'attente très très long.",3,18,mars,2021
livraison de la commande très rapide avec un suivi très précis des différentes étapes de livraison.matériel parfaitement conforme à ce que j’attendais.merci,5,18,mars,2021
"tout se déroule comme prévu, matériel en bon état.très satisfait à tout point de vu.",5,18,mars,2021
très satisfait de mon achat. super service. merci.,5,18,mars,2021
"excellent rapport qualité/ prix, image de très bonne qualité, seul manqe de couleur sur le ciel qui apparaît en léger damier quand on regarde de prêt.un peu bruyant mais esquissé avec un home cinéma.projection en 4k sur 3,30m de diagonale",5,18,mars,2021
"bons conseils pré-commande, livraison très rapide ensuite.",5,3,mars,2021
"très satisfait de mon achat,expédié rapidement.",4,18,mars,2021
"le choix des produits est très bon, les devis offerts sont plus que corrects et les mentions de disponibilité sont fiables.le choix de geodis pour le transport est un très bon choix.vous pouvez y aller...",5,18,mars,2021
"un ampli a/v marantz sr8015 commandé et reçu en 72h comme prévu en parfait état, au meilleurs prix,vendeur sérieux,je le recommande !",5,17,mars,2021
emballage et livraison soignés.,5,17,mars,2021
très bon matériel. très bon conseil. très à l'écoute. grand professionnalisme.,5,17,mars,2021
"bonne disponibilité du personnel, bons conseils, bon rapport qualité prix.",5,17,mars,2021
"très bon tarif, rapide.... dommage pas de klipsch chez vous.",5,17,mars,2021
conseils et sav excellent!,5,17,mars,2021
bon son là finition un peut juste pour ce modèle .,4,17,mars,2021
"livraison conforme à la commande, matériel super bien emballé pour éviter la casse et délai livraison acceptable. informations suivi commande par mail.",5,17,mars,2021
du conseil jusqu a la livraison tout fut  parfait merci,5,17,mars,2021
rapidité de livraison produit très bien emballé et protégé je recommande sans hésitation,5,17,mars,2021
"c'est pro, c'est rapide, très bon service clients. j'en parle à tous mes amis qui ont des projets de home cinéma !",5,17,mars,2021
un bon site en termes de conditions et rabais sur les produits. livraison rapide.,5,16,mars,2021
tres bon matériel    entièrement  satisfait  je recommanderai  homecinesolution a mes proches  et mes  connaissances  merci,5,16,mars,2021
"site sérieux et très professionnel, une excellente sav rapide, je recommande fortement...",5,16,mars,2021
service sav qui fait tout pour pas faire jouer la garantie du vendeur .... vraiment dommage de leser les clients des qu'un produit a un soucis,1,16,mars,2021
